"Super Category","Parent Category","Category Name","Category Code"
"Household Care","CHARCOAL LIGHTER","Charcoal Lighter","183601"
"Household Care","*** HOUSEHOLD SUPPLIES ***","INSECTICIDES","183700"
"Household Care","INSECTICIDES","Residual Aerosols Insecticides","183701"
"Household Care","INSECTICIDES","Residual Liquids Insecticides","183702"
"Household Care","INSECTICIDES","Flying Insect Aerosol","183703"
"Household Care","INSECTICIDES","Flying Insect Liquid","183704"
"Household Care","INSECTICIDES","House/Lawn & Garden Aerosol Insecticides","183705"
"Household Care","INSECTICIDES","Indoor Foggers Insecticides","183706"
"Household Care","INSECTICIDES","Continuous Action Insecticides","183707"
"Household Care","INSECTICIDES","Crawling Insect-Other Insecticides","183708"
"Household Care","INSECTICIDES","House/Lawn and Garden Liquids Insecticides","183709"
"Household Care","INSECTICIDES","Ant Roach Traps","183710"
"Household Care","INSECTICIDES","Ant Roach Powders- Tablets","183711"
"Household Care","INSECTICIDES","Flea & Tick Insecticide","183712"
"Household Care","INSECTICIDES","Outdoor Fogger Insecticides","183713"
"Household Care","INSECTICIDES","Gypsy Moth-Caterpiller & Beetle Spray Insecticides","183714"
"Household Care","INSECTICIDES","Fire Ant Killers Insecticides","183715"
"Household Care","INSECTICIDES","Ant & Roach Spray","183716"
"Household Care","INSECTICIDES","Rose Bush Insecticides","183717"
"Household Care","INSECTICIDES","St. Augustine Grass Insecticide","183718"
"Household Care","INSECTICIDES","Line of Insecticides","183719"
"Household Care","INSECTICIDES","Fabric Moth Insecticide","183720"
"Household Care","INSECTICIDES","Food Moth Insecticide","183721"
"Household Care","INSECTICIDES","All Other Insecticides","183799"
"Household Care","*** HOUSEHOLD SUPPLIES ***","FIREPLACE LOGS & BRICKS","183800"
"Household Care","FIREPLACE LOGS & BRICKS","Waxed Wood","183801"
"Household Care","FIREPLACE LOGS & BRICKS","Pressed Sawdust Logs","183802"
"Household Care","FIREPLACE LOGS & BRICKS","Fireplace Bricks","183803"
"Household Care","FIREPLACE LOGS & BRICKS","Firewood","183804"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MOTOR OIL & ADDITIVES","183900"
"Household Care","MOTOR OIL & ADDITIVES","Motor Oils","183901"
"Household Care","MOTOR OIL & ADDITIVES","Treatment Motor Oils & Additives","183902"
"Household Care","MOTOR OIL & ADDITIVES","Fuel Cleaner","183903"
"Household Care","MOTOR OIL & ADDITIVES","All Other motor oil & additives","183999"
"Household Care","*** HOUSEHOLD SUPPLIES ***","DECK & PATIO SUPPLIES","184000"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Stains","184001"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Seals","184002"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Washers","184003"
"Household Care","DECK & PATIO SUPPLIES","All Other Deck/Patio Supplies","184099"
"Household Care","*** HOUSEHOLD SUPPLIES ***","LAWN & GARDEN FERTILIZERS & HERBICIDES","184100"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Lawn Fertilizer","184101"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Outdoor Plants/Flowers Fertilizers","184102"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Rose Bush Fertilizers","184103"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","St. Augustine Grass Fertilizers","184104"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Lawn Weed Killer","184105"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Spot Weed Killer","184106"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","All Other Lawn & Garden Fertilizers & Herbicides","184199"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MULTI-PURPOSE STAIN REMOVERS","185100"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","Multi-Purpose Powder Stain Remover","185101"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","Multi-Purpose Liquid Stain Remover","185102"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","All Other Multi-Purpose Stain Remover","185103"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","All Other multi-purpose stain removers","185199"
"Household Care","*** HOUSEHOLD SUPPLIES ***","FURNACE FILTERS","186100"
"Household Care","FURNACE FILTERS","Furnace Filters","186101"
"Household Care","*** HOUSEHOLD SUPPLIES ***","DRY CELL BATTERIES","189800"
"Household Care","DRY CELL BATTERIES","Alkaline Batteries","189801"
"Household Care","DRY CELL BATTERIES","Heavy Duty Batteries","189802"
"Household Care","DRY CELL BATTERIES","Transistor Batteries","189803"
"Household Care","DRY CELL BATTERIES","General Purpose Batteries","189804"
"Household Care","DRY CELL BATTERIES","Watch Batteries","189805"
"Household Care","DRY CELL BATTERIES","Miscellaneous Dry Cell Batteries","189806"
"Household Care","DRY CELL BATTERIES","All Other Batteries","189899"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MISCELLANEOUS HOUSEHOLD SUPPLIES","189900"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Dyes & Tints","189901"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Household Supplies Other","189902"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Glass Treatment","189903"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Wood Stain/Finish","189904"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Wood Craft Kit","189905"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Candles","189906"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Water Filtration Products","189907"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Air Purifying Systems","189908"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","All Other miscellaneous household supplies","189999"
"Household Care","Delicate/Special Fabric Laundry Detergents","Laundry Bar","221202"
"Household Care","Delicate/Special Fabric Laundry Detergents","Wools/Delicate Liquid Detergent","221203"
"Household Care","Delicate/Special Fabric Laundry Detergents","Wools/Delicate All Other Detergent","221204"
"Household Care","Delicate/Special Fabric Laundry Detergents","All Other Delicate/Special Fabric Laundry Detergents","221299"
"Household Care","*** LAUNDRY/FABRIC CARE ***","Washing Machine Cleaners","221300"
"Household Care","Washing Machine Cleaners","Liquid / Gel Washing Machine Cleaners","221301"
"Household Care","Washing Machine Cleaners","Powder Washing Machine Cleaners","221302"
"Household Care","Washing Machine Cleaners","Tablets Washing Machine Cleaners","221303"
"Household Care","Washing Machine Cleaners","Other Washing Machine Cleaners","221304"
"Household Care","Washing Machine Cleaners","Line of Washing Machine Cleaners","221309"
"Household Care","*** LAUNDRY/FABRIC CARE ***","MISCELLANEOUS LAUNDRY SUPPLIES","229900"
"Household Care","MISCELLANEOUS LAUNDRY SUPPLIES","Line of Laundry Supplies","229901"
"Household Care","MISCELLANEOUS LAUNDRY SUPPLIES","Miscellaneous Laundry Supplies","229999"
"Household Care","Household Care","*** LAUNDRY/FABRIC CARE ***","220000"
"Household Care","*** LAUNDRY/FABRIC CARE ***","BLEACH - CHLORINE","220100"
